Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_438.jpg,-2.008753,1,0,0.8415694,99.92202,85.97266,1.207497,56.62506,0.001265707
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_479.jpg,-2.419639,1,0,0.8822163,99.95187,86.01674,1.2265,56.49715,0.002113467
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_526.jpg,-2.220626,1,0,0.9316965,99.97273,86.0474,1.233287,56.40268,0.00217229
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_569.jpg,0,1,0,0.9645905,99.99407,86.07916,1.232939,56.35779,0.001870411
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_609.jpg,-0.1910448,1,0,0.9968284,100.0159,86.11204,1.225782,56.35249,0.001223124
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_655.jpg,0,1,0,1.028783,100.0383,86.14594,1.214121,56.35501,0.001074235
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_697.jpg,0,1,0,1.059519,100.0613,86.18089,1.212049,56.38338,0.0002878928
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_740.jpg,0,1,0,1.082911,100.0973,86.23537,1.218929,56.38519,0.0008956244
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_782.jpg,0,1,0,1.136901,100.1223,86.27323,1.226004,56.3962,0.0007534142
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_824.jpg,0,1,0,1.164352,100.1477,86.31186,1.222865,56.41322,0.0007402569
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_866.jpg,0,1,0,1.198296,100.174,86.35172,1.225348,56.45184,0.0005260448
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_909.jpg,0,1,0,1.230598,100.2009,86.39257,1.226243,56.48011,0.0006539803
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_950.jpg,0,1,0,1.262241,100.2285,86.43454,1.230016,56.5036,0.000696653
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_02_992.jpg,0,1,0,1.29161,100.2567,86.47751,1.231418,56.5146,0.0008928798
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_035.jpg,-0.7645476,1,0,1.324157,100.2857,86.52166,1.237051,56.53611,0.000798331
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_078.jpg,-2.678218,1,0,1.357047,100.3156,86.56667,1.240626,56.49883,0.00109362
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_119.jpg,-3.060808,1,0,1.386167,100.3624,86.63539,1.238612,56.25263,0.002757186
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_161.jpg,-1.193529,1,0,1.421299,100.3947,86.68269,1.247573,56.11847,0.002543488
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_203.jpg,0,1,0,1.464958,100.4273,86.73106,1.248004,56.07242,0.001685189
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_245.jpg,0,1,0,1.497592,100.4605,86.78058,1.247543,56.07007,0.001043852
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_287.jpg,0,1,0,1.527606,100.4943,86.83124,1.251533,56.07493,0.001007934
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_329.jpg,0,1,0,1.558651,100.5288,86.88295,1.256157,56.08206,0.001000303
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_372.jpg,0,1,0,1.590549,100.5639,86.93566,1.257898,56.08984,0.0009674252
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_414.jpg,0,1,0,1.621402,100.5998,86.98942,1.260079,56.09753,0.0009828509
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_456.jpg,0,1,0,1.652199,100.6363,87.0442,1.262488,56.10502,0.0009933935
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_499.jpg,-0.5558825,1,0,1.682932,100.6924,87.12832,1.268746,56.10663,0.00103815
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_540.jpg,-2.482738,1,0,1.71261,100.731,87.18541,1.273117,56.01978,0.001709383
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_582.jpg,-4.285794,1,0,1.742762,100.7709,87.24295,1.271362,55.80522,0.002874776
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_622.jpg,-6.104064,1,0,1.787394,100.8123,87.30085,1.266853,55.45743,-0.0001392258
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_665.jpg,-8.014408,1,0,1.817073,100.8553,87.35896,1.261432,54.97312,359.9866
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_707.jpg,-9.965072,1,0,1.845425,100.9002,87.41712,1.254879,54.341,359.961
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_750.jpg,-11.90142,1,0,1.873137,100.9468,87.47507,1.233926,53.56546,359.9324
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_793.jpg,-13.81586,1,0,1.900806,100.9952,87.53254,1.194675,52.64397,359.8972
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_833.jpg,-15,1,0,1.927733,101.0456,87.58926,1.137189,51.58045,359.8502
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_876.jpg,-15,1,0,1.95573,101.0979,87.64542,1.065272,50.43684,359.7954
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_918.jpg,-14.7004,1,0,1.983907,101.1521,87.70122,0.9896137,49.26908,359.7298
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_03_960.jpg,-12.79748,1,0,2.013102,101.2364,87.78485,0.8728588,47.5912,359.6327
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_003.jpg,-10.87895,1,0,2.058747,101.2944,87.841,0.801506,46.60461,359.5751
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_044.jpg,-9.019275,1,0,2.088681,101.3539,87.8977,0.7415794,45.74826,359.5251
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_087.jpg,-7.25775,1,0,2.118482,101.4145,87.9551,0.6934368,45.02811,359.4878
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_129.jpg,-5.192074,1,0,2.148094,101.4764,88.01332,0.6573773,44.44501,359.4661
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_170.jpg,-3.495533,1,0,2.177474,101.5392,88.07249,0.6342328,44.00087,359.4624
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_211.jpg,-1.487943,1,0,2.207182,101.6031,88.13279,0.6289459,43.70502,359.4756
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_253.jpg,0,1,0,2.235585,101.668,88.19444,0.6495933,43.56065,359.5016
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_294.jpg,0,1,0,2.263863,101.7338,88.25735,0.69346,43.52152,359.5397
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_337.jpg,0,1,0,2.292145,101.8006,88.32133,0.7578279,43.51591,359.5842
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_377.jpg,0,1,0,2.31983,101.8684,88.38631,0.836702,43.52437,359.6376
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_420.jpg,0,1,0,2.34847,101.9717,88.4855,0.9634428,43.54691,359.7447
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_462.jpg,0,1,0,2.391733,102.0417,88.55273,1.061681,43.55773,359.8203
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_504.jpg,0,1,0,2.420106,102.1127,88.62086,1.165758,43.57373,359.9022
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_546.jpg,0,1,0,2.448819,102.1845,88.68987,1.274566,43.59131,359.9886
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_588.jpg,0,1,0,2.476258,102.2575,88.75854,1.358913,43.57848,0.004926112
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_629.jpg,0,1,0,2.505945,102.3307,88.8273,1.385425,43.57417,0.004166673
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_670.jpg,0,1,0,2.538483,102.404,88.89665,1.361541,43.58673,0.001949876
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_711.jpg,0,1,0,2.568794,102.4777,88.96705,1.330866,43.59796,0.001122268
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_752.jpg,0,1,0,2.59665,102.5524,89.03858,1.318127,43.60749,0.0009240275
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_795.jpg,0,1,0,2.62447,102.6281,89.11114,1.320782,43.61744,0.000861313
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_836.jpg,0,1,0,2.65227,102.7046,89.18465,1.336885,43.62798,0.0008561412
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_878.jpg,0,1,0,2.67936,102.7819,89.25891,1.349723,43.63928,0.001378053
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_920.jpg,0,1,0,2.708747,102.8992,89.37163,1.351683,43.65568,0.001388142
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_04_960.jpg,0,1,0,2.736971,102.9783,89.44776,1.352549,43.66469,0.001414083
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_001.jpg,0,1,0,2.765126,103.0583,89.5247,1.352827,43.67283,0.001413229
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_042.jpg,0,1,0,2.807226,103.139,89.60243,1.352637,43.68077,0.001420862
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_087.jpg,-1.432396,1,0,2.835121,103.2206,89.6808,1.352175,43.65159,0.001637727
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_129.jpg,-3.476422,1,0,2.863209,103.3036,89.75948,1.355189,43.50586,0.00230087
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_171.jpg,-4.763882,1,0,2.889173,103.3881,89.83803,1.353121,43.20718,-0.0008495817
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_212.jpg,-2.901421,1,0,2.91755,103.4738,89.91672,1.345756,42.84709,-0.003841547
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_254.jpg,-1.190836,1,0,2.945815,103.5604,89.99619,1.342824,42.5667,0.002952039
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_297.jpg,0,1,0,2.972628,103.648,90.07658,1.353379,42.42357,0.0024666
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_339.jpg,0,0.9315944,0,2.999044,103.7807,90.19873,1.375078,42.36596,0.001810201
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_380.jpg,0,0.810724,0,3.024275,103.87,90.28085,1.375737,42.36083,0.001592106
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_421.jpg,0,0.6966701,0,3.04521,103.9597,90.36341,1.368237,42.36228,0.001025141
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_464.jpg,0,0.5590091,0,3.068645,104.0499,90.44637,1.358796,42.37063,0.0008419508
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_505.jpg,0,0.4353521,0,3.07886,104.1402,90.52955,1.342308,42.38235,0.0008006858
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_546.jpg,0,0.312223,0,3.084996,104.2307,90.61281,1.314782,42.39524,0.0007631542
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_589.jpg,0,0.4209826,0,3.090413,104.3211,90.69608,1.27558,42.40844,0.000718842
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_630.jpg,0,0.5437663,0,3.099277,104.4117,90.77952,1.23031,42.42159,0.0007119446
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_670.jpg,0,0.6652153,0,3.112209,104.5026,90.86327,1.185388,42.43452,0.0007040603
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_711.jpg,-1.269726,0.7869318,0,3.129033,104.5941,90.94749,1.14652,42.43431,0.0007087474
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_752.jpg,-3.101943,0.9090796,0,3.149777,104.6867,91.0319,1.117328,42.33413,-0.00224401
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_794.jpg,-4.988426,1,0,3.17386,104.781,91.11617,1.099102,42.08033,359.9759
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_834.jpg,-6.289244,1,0,3.199145,104.8771,91.20009,1.091951,41.65328,359.9309
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_877.jpg,-4.379082,1,0,3.22516,104.975,91.2839,1.094588,41.13832,359.8731
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_917.jpg,-2.568151,1,0,3.251766,105.074,91.36819,1.108074,40.68723,359.8179
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_05_959.jpg,-0.685122,1,0,3.278096,105.2237,91.49626,1.125275,40.27436,359.7794
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_002.jpg,0,1,0,3.318875,105.324,91.58277,1.122788,40.17408,359.795
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_044.jpg,0,1,0,3.345954,105.4254,91.66982,1.12459,40.13931,359.8169
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_088.jpg,0,1,0,3.371954,105.528,91.75749,1.141012,40.13509,359.8363
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_131.jpg,0,1,0,3.397922,105.6316,91.84591,1.170411,40.14525,359.8581
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_173.jpg,0,1,0,3.423855,105.7362,91.93513,1.211313,40.16197,359.8839
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_213.jpg,0,1,0,3.449976,105.8415,92.02515,1.256224,40.18417,359.9202
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_253.jpg,0,1,0,3.475884,105.9478,92.11596,1.311733,40.20478,359.9584
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_296.jpg,-2.08516,1,0,3.501698,106.0552,92.20736,1.374974,40.18841,-0.002601557
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_337.jpg,-3.763933,1,0,3.526782,106.1638,92.29825,1.418033,40.04059,0.00384983
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_380.jpg,-5.830103,1,0,3.55329,106.3289,92.43381,1.435887,39.5181,0.005802093
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_423.jpg,-7.635734,1,0,3.579602,106.4408,92.52303,1.412828,38.94045,-0.004810823
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_464.jpg,-8.298218,1,0,3.617508,106.5546,92.61092,1.371509,38.19217,359.9595
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_506.jpg,-6.46555,1,0,3.643497,106.67,92.69808,1.316273,37.42199,359.9146
../hkkim_dataset/IMG/robocam_2017_05_11_16_40_06_549.jpg,-4.518932,1,0,3.670147,106.7867,92.785,1.254603,36.75182,359.8677
